surname,name,mobile_number,work_number,home_number,b_day
Ozhiganova,Polina,89616337723,-,-,17.11.1995
Ozhiganova,Marina,89036088787,-,-,04.11.1971
Panina,Polina,89616337723,89616337723,89616337723,27.11.2001
Lui,Pola,89616332278,-,-,-
Kallin,Pal,89854772215,-,-,-
Ionova,Anny,89816984251,-,-,20.11.1975
Petrov,Oleg20,89111111118,-,-,12.12.2000
Kydrina,Mila,89616337723,-,-,31.12.2004
Par,Zew,-,89616337723,-,-
Alur,Riffae,-,-,89616337723,-
Machinski,Mary,89111111111,-,89999999999,-
Zagir,Artur,89111111111,89616337723,89999999999,-
Grrr,Mrrr,89616337723,89647521478,-,01.05.2002
Maruv,Gali,-,-,89814755478,-
Bulig,Nigurius,89571478454,89847221475,89177445454,02.01.2000
Nargiz,Zeneva,87965441478,-,-,-
Ponse,Lele,89616337723,-,-,-
Af,Af,89444444455,-,-,01.02.1995
